kappa_target,kappa_actual,run_id,method,mse,support_recall,support_precision,rel_err
50,35.6306493327911,0,EN_Fixed,4.193368605449224e-07,1.0,0.6666666666666666,0.0007207179731934511
50,35.6306493327911,0,EN_Dynamic,0.7882014263578653,0.5,1.0,0.9881035078849031
50,35.6306493327911,0,OMP,8.011868568650901e-32,1.0,1.0,3.1502914970875563e-16
50,35.6306493327911,0,Lasso,2.149586325102907e-09,1.0,0.6666666666666666,5.160137546732466e-05
50,35.6306493327911,0,Ridge,0.45166534287726545,1.0,0.2,0.7479838426440052
50,27.44731426095061,1,EN_Fixed,7.077650270662469e-06,1.0,1.0,0.0026422707398439833
50,27.44731426095061,1,EN_Dynamic,1.013758405159336,0.0,0.0,1.0
50,27.44731426095061,1,OMP,0.5572971564864989,0.5,0.25,0.7414402858935589
50,27.44731426095061,1,Lasso,1.934830545760901e-09,1.0,1.0,4.3687202288653666e-05
50,27.44731426095061,1,Ridge,0.21900915257296968,1.0,0.2,0.46479762298437405
50,23.812603988536225,2,EN_Fixed,2.730087734473726e-09,1.0,0.4,7.512041070484943e-05
50,23.812603988536225,2,EN_Dynamic,0.4837942434115784,0.0,0.0,1.0
50,23.812603988536225,2,OMP,1.8242408433235899e-31,1.0,1.0,6.140599024528648e-16
50,23.812603988536225,2,Lasso,4.186043324996994e-10,1.0,1.0,2.9415180062597525e-05
50,23.812603988536225,2,Ridge,0.09910675622290471,1.0,0.2,0.45260701693356814
50,37.72829838124986,3,EN_Fixed,1.2294496668156165e-10,1.0,0.5,1.2885641244403464e-05
50,37.72829838124986,3,EN_Dynamic,0.6757479178796053,0.5,0.5,0.9553071254629595
50,37.72829838124986,3,OMP,9.860761315262648e-32,1.0,1.0,3.6492690370718833e-16
50,37.72829838124986,3,Lasso,1.1526082401610564e-10,1.0,0.5,1.2476464034715557e-05
50,37.72829838124986,3,Ridge,2.451239968547563,1.0,0.2,1.8194644466881502
50,23.258648339049337,4,EN_Fixed,4.49167410495491e-11,1.0,0.6666666666666666,1.0613494666866608e-05
50,23.258648339049337,4,EN_Dynamic,0.3921346234320802,1.0,0.6666666666666666,0.9916807472472379
50,23.258648339049337,4,OMP,1.4183325053360192,0.0,0.0,1.8860070635039636
50,23.258648339049337,4,Lasso,4.683874304077287e-11,1.0,1.0,1.0838193558697706e-05
50,23.258648339049337,4,Ridge,0.15638511622253642,1.0,0.2,0.6262561379823343
50,20.079280615107407,5,EN_Fixed,5.291706624424644e-07,1.0,0.25,0.0008104302850820383
50,20.079280615107407,5,EN_Dynamic,0.8056834356068265,0.0,0.0,1.0
50,20.079280615107407,5,OMP,5.915480704908261e-30,1.0,1.0,2.709647542106027e-15
50,20.079280615107407,5,Lasso,4.970419805903665e-10,1.0,0.6666666666666666,2.4837868196077628e-05
50,20.079280615107407,5,Ridge,0.28311833581366475,1.0,0.2,0.5927912451296529
50,48.56529690942758,6,EN_Fixed,6.337516524526985e-10,1.0,1.0,6.5187137769265e-05
50,48.56529690942758,6,EN_Dynamic,0.14914039182122768,0.0,0.0,1.0
50,48.56529690942758,6,OMP,0.15697029389576403,0.5,0.25,1.0259143293846151
50,48.56529690942758,6,Lasso,7.806577901932081e-10,1.0,1.0,7.23490293791616e-05
50,48.56529690942758,6,Ridge,0.05319551942869385,1.0,0.2,0.5972276237825072
50,37.4686786220366,7,EN_Fixed,0.22588310409652532,1.0,0.25,0.4802932261788275
50,37.4686786220366,7,EN_Dynamic,0.9791986904546907,0.0,0.0,1.0
50,37.4686786220366,7,OMP,0.6123042010443891,0.5,0.25,0.7907663998295559
50,37.4686786220366,7,Lasso,7.7612578911095e-08,1.0,1.0,0.0002815338667449606
50,37.4686786220366,7,Ridge,0.1877394721789391,1.0,0.2,0.4378671699875377
50,40.62586175166733,8,EN_Fixed,0.04560878630385576,1.0,0.2857142857142857,0.2606610040037302
50,40.62586175166733,8,EN_Dynamic,0.631748358211554,0.5,0.5,0.9701164458639607
50,40.62586175166733,8,OMP,2.465190328815662e-32,1.0,1.0,1.916359719284549e-16
50,40.62586175166733,8,Lasso,5.343143045441566e-08,1.0,0.6666666666666666,0.0002821306091959154
50,40.62586175166733,8,Ridge,0.354820524867444,1.0,0.2,0.727036430335087
50,46.70562279054,9,EN_Fixed,9.80902116970813e-11,1.0,0.4,1.6975505490771117e-05
50,46.70562279054,9,EN_Dynamic,0.34039270256936766,0.0,0.0,1.0
50,46.70562279054,9,OMP,2.0029671421627253e-32,1.0,1.0,2.425754199842206e-16
50,46.70562279054,9,Lasso,1.3250908595694798e-10,1.0,1.0,1.973025547150646e-05
50,46.70562279054,9,Ridge,0.008182097061738109,1.0,0.2,0.15503944071706197
