kappa_target,kappa_actual,run_id,method,mse,support_recall,support_precision,rel_err
50,35.6306493327911,0,EN_Fixed,5.664618433179462e-09,1.0,0.6666666666666666,8.581929331376141e-05
50,35.6306493327911,0,EN_Dynamic,0.6843299463436417,0.5,0.5,0.943262080406342
50,35.6306493327911,0,OMP,0.2692134744334017,0.5,0.5,0.5916270194048382
50,35.6306493327911,0,Lasso,6.950143868232346e-11,1.0,0.8,9.505971341359593e-06
50,35.6306493327911,0,Ridge,0.27597022498669277,1.0,0.4,0.5990053718947295
50,27.44731426095061,1,EN_Fixed,1.0246015526101897,1.0,0.4444444444444444,0.6698568604506135
50,27.44731426095061,1,EN_Dynamic,2.2395850562374235,0.25,0.5,0.990349040836041
50,27.44731426095061,1,OMP,0.11935717060967528,0.75,0.75,0.22862765528009765
50,27.44731426095061,1,Lasso,0.5972898723691811,1.0,0.4,0.5114428131935207
50,27.44731426095061,1,Ridge,1.2009484782724225,1.0,0.4,0.725214857477493
50,23.812603988536225,2,EN_Fixed,1.205094368153025e-09,1.0,0.6666666666666666,3.207722231644576e-05
50,23.812603988536225,2,EN_Dynamic,1.0411941368159414,1.0,1.0,0.9428705751399348
50,23.812603988536225,2,OMP,0.03397116826778866,0.75,0.75,0.17031051685361523
50,23.812603988536225,2,Lasso,1.6673311755464056e-09,1.0,1.0,3.773089968617936e-05
50,23.812603988536225,2,Ridge,0.03951357741277152,1.0,0.4,0.18367895551240873
50,37.72829838124986,3,EN_Fixed,5.441449969029949e-07,1.0,0.6666666666666666,0.0006662830401646045
50,37.72829838124986,3,EN_Dynamic,1.1552749568746539,0.5,0.5,0.9708320786928806
50,37.72829838124986,3,OMP,1.0014835710813626e-31,1.0,1.0,2.8584023030896283e-16
50,37.72829838124986,3,Lasso,5.381865175989618e-07,1.0,0.6666666666666666,0.0006626250429609514
50,37.72829838124986,3,Ridge,3.5292097945858822,1.0,0.4,1.6968371988116733
50,23.258648339049337,4,EN_Fixed,8.00631715736329e-05,1.0,0.5,0.009349180317731806
50,23.258648339049337,4,EN_Dynamic,0.7708400611050736,1.0,0.6666666666666666,0.9173589020094325
50,23.258648339049337,4,OMP,0.011978379147310543,0.75,0.75,0.11435526611586087
50,23.258648339049337,4,Lasso,4.169441234341856e-05,1.0,0.5,0.006746772555871837
50,23.258648339049337,4,Ridge,0.5815660043688614,1.0,0.4,0.7968134330109133
50,20.079280615107407,5,EN_Fixed,1.2571692552210144e-06,1.0,1.0,0.0007891750524051995
50,20.079280615107407,5,EN_Dynamic,1.8530944132506264,0.75,0.75,0.9581317799300573
50,20.079280615107407,5,OMP,2.238534741974976,0.5,0.5,1.0530727904253074
50,20.079280615107407,5,Lasso,1.748151548275636e-08,1.0,0.8,9.306063499148045e-05
50,20.079280615107407,5,Ridge,0.10252306268489852,1.0,0.4,0.22536540905221816
50,48.56529690942758,6,EN_Fixed,3.0065219251852878e-06,1.0,0.6666666666666666,0.0010706407020107712
50,48.56529690942758,6,EN_Dynamic,2.3879451652139756,0.75,0.6,0.9541655600882364
50,48.56529690942758,6,OMP,3.4957210040005102,0.75,0.75,1.1544628020133751
50,48.56529690942758,6,Lasso,1.647671722411101e-07,1.0,0.6666666666666666,0.00025063799414770297
50,48.56529690942758,6,Ridge,0.5768798104166302,1.0,0.4,0.46897990246595894
50,37.4686786220366,7,EN_Fixed,5.244496734618881e-05,1.0,0.5714285714285714,0.008212368356435207
50,37.4686786220366,7,EN_Dynamic,0.7054801381878278,0.5,0.6666666666666666,0.9524866709632576
50,37.4686786220366,7,OMP,4.788632213724423e-31,1.0,1.0,7.847336079467688e-16
50,37.4686786220366,7,Lasso,4.565116020974904e-06,1.0,0.5714285714285714,0.0024229386681633774
50,37.4686786220366,7,Ridge,0.05837926225252734,1.0,0.4,0.2739970029807334
50,40.62586175166733,8,EN_Fixed,7.25428210130882e-05,1.0,0.6666666666666666,0.0089374849688243
50,40.62586175166733,8,EN_Dynamic,0.8303980214043707,1.0,0.6666666666666666,0.9562275612150621
50,40.62586175166733,8,OMP,1.1387107085904857,0.5,0.5,1.1197596316012668
